https://www.nifc.gov/fireInfo/fireInfo_stats_totalFires.html

Total Wildland Fires and Acres (1926-2019)
The National Interagency Coordination Center at NIFC compiles annual wildland fire statistics 
for federal and state agencies.This information is provided through Situation Reports, which have
been in use for several decades. Prior to 1983, sources of these figures are not known, or cannot be 
confirmed, and were not derived from the current situation reporting process. As a result the
figures prior to 1983 should not be compared to later data.

Source: National Interagency Coordination Center
US fires

===[DATA=AFTER]===
Year	Fires	Acres
1926	91793	24316000
1927	158438	38531000
1928	175934	43542000
1929	134895	46230000
1930	190980	52266000
1931	187214	51607000
1932	166399	42063000
1933	140722	43890000
1934	162663	41821000
1935	140297	30335000
1936	226285	43207000
1937	185209	21981000
1938	232229	33815000
1939	212671	30449000
1940	195427	25848000
1941	199702	26405000
1942	208218	31854000
1943	210326	32333000
1944	131229	16549000
1945	124728	17681000
1946	172278	20691000
1947	200799	23226000
1948	174189	16557000
1949	193774	15397000
1950	208402	15519000
1951	164090	10781000
1952	188277	14187000
1953	154160	9976000
1954	176891	8833000
1955	145180	8069000
1956	143485	6606000
1957	83392	3410000
1958	97910	3280000
1959	104662	4156000
1960	103387	4478188
1961	98517	3036219
1962	115345	4078894
1963	164183	7120768
1964	116358	4197309
1965	113684	2652112
1966	122500	4574389
1967	125025	4658586
1968	125371	4231996
1969	113351	6689081
1970	121736	3278565
1971	108398	4278472
1972	124554	2641166
1973	117957	1915273
1974	145868	2879095
1975	134872	1791327
1976	241699	5109926
1977	173998	3152644
1978	218842	3910913
1979	163196	2986826
1980	234892	5260825
1981	249370	4814206
1982	174755	2382036
1983	18229	1323666
1984	20493	1148409
1985	82591	2896147
1986	85907	2719162
1987	71300	2447296
1988	72750	5009290
1989	48949	1827310
1990	66481	4621621
1991	75754	2953578
1992	87394	2069929
1993	58810	1797574
1994	79107	4073579
1995	82234	1840546
1996	96363	6065998
1997	66196	2856959
1998	81043	1329704
1999	92487	5626093
2000	92250	7393493
2001	84079	3570911
2002	73457	7184712
2003	63629	3960842
2004	65461	8097880
2005	66753	8689389
2006	96385	9873745
2007	85705	9328045
2008	78979	5292468
2009	78792	5921786
2010	71971	3422724
2011	74126	8711367
2012	67774	9326238
2013	47579	4319546
2014	63312	3595613
2015	68151	10125149
2016	67743	5509995
2017	71499	10026086
2018	58083	8767492
2019	50477	4664364
