Year	MonthCount	Min-s_77Balance	Max-s_77Balance	Q1-s_77Balance	Q2-s_77Balance	Q3-s_77Balance	Mean-s_77Balance	StdDev-s_77Balance	Skew-s_77Balance	Kurt-s_77Balance	Min-s_77Networth	Max-s_77Networth	Q1-s_77Networth	Q2-s_77Networth	Q3-s_77Networth	Mean-s_77Networth	StdDev-s_77Networth	Skew-s_77Networth	Kurt-s_77Networth	Min-s_77Reserves	Max-s_77Reserves	Q1-s_77Reserves	Q2-s_77Reserves	Q3-s_77Reserves	Mean-s_77Reserves	StdDev-s_77Reserves	Skew-s_77Reserves	Kurt-s_77Reserves	Min-s_77Debts	Max-s_77Debts	Q1-s_77Debts	Q2-s_77Debts	Q3-s_77Debts	Mean-s_77Debts	StdDev-s_77Debts	Skew-s_77Debts	Kurt-s_77Debts	Min-s_77Equity	Max-s_77Equity	Q1-s_77Equity	Q2-s_77Equity	Q3-s_77Equity	Mean-s_77Equity	StdDev-s_77Equity	Skew-s_77Equity	Kurt-s_77Equity
2015	   4	2085.311452517	2088.000000000	2085.770153342	2086.676927084	2087.562500000	2086.666326671	1.157026640	-0.025387469	1.640327931	157088.000000000	163463.331973351	158189.895833334	160334.906093750	162420.676247092	160305.286040213	2738.741419672	-0.030212669	1.650944044	155000.000000000	155116.666666667	155000.000000000	155116.666666667	0	155087.500000000	58.333333334	-1.154700538	2.333333333	0.000000000	0.000000000	0	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
2016	  12	-9.377347276	2086.666326671	1233.887955960	2081.410711215	2084.356576593	1626.083250132	657.603174651	-1.316983328	4.007244380	28040.825726332	178050.203073608	32135.764243302	166592.878048931	172845.926301101	113266.724173743	72433.386972555	-0.333074236	1.121473520	155116.666666667	155924.248570094	0	155116.666666667	155620.108689260	155284.604327931	283.072433705	1.339429290	3.291914634	0.000000000	150000.000000000	0	0.000000000	149597.690176648	62332.062338736	77031.995915142	0.338080702	1.114324253	0.000000000	110807.581903427	0	0.000000000	110402.309823352	46001.270994598	56850.019665019	0.338096587	1.114356475
2017	  12	1205.817483181	1229.020929105	1211.346673294	1217.782698957	1224.000636783	1217.641342880	7.606086565	-0.046583495	1.785168734	36228.023103157	54193.336140231	40317.086065524	45219.576866545	50116.730817310	45216.117253705	5888.725369929	-0.001472812	1.783166629	156128.002266225	158419.321192038	156640.762792438	157262.201123423	157890.515663636	157266.657981668	751.039165851	0.014875857	1.783450493	146697.345474629	148988.664400442	147226.151003032	147854.465543245	148475.903874230	147850.008684999	751.039165851	-0.014875857	1.783450493	111011.335599558	113302.654525371	111524.096125771	112145.534456756	112773.848996969	112149.991315001	751.039165851	0.014875857	1.783450493
2018	  12	1191.901411383	1489.493031200	1197.807262414	1340.311539613	1483.355779420	1340.547236327	149.184290111	0.000158858	1.003320004	55822.742474997	75494.604756019	59892.985535438	64921.044395676	70691.682367429	65291.233987205	6472.477946156	0.103849761	1.776491131	158632.243804494	161026.672081968	159168.078554387	159817.481610266	160474.070304788	159822.139027132	784.835928314	0.014875857	1.783450493	144089.994584699	146484.422862173	144642.596361879	145299.185056402	145948.588112281	145294.527639535	784.835928314	-0.014875857	1.783450493	113515.577137827	115910.005415301	114051.411887720	114700.814943599	115357.403638121	114705.472360465	784.835928314	0.014875857	1.783450493
2019	  12	1444.501731772	1474.497027580	1451.606557085	1459.908439692	1467.964894975	1459.749363274	9.832206096	-0.040555410	1.784722219	77414.110043633	98460.960475260	82208.518796356	87953.607097706	93689.053963077	87947.357413780	6898.798943502	-0.002270946	1.783170565	161249.176211985	163751.353761945	161809.123525623	162487.749719016	163173.884904792	162492.616719641	820.153545088	0.014875857	1.783450493	141365.312904721	143867.490454681	141942.781761875	142628.916947651	143307.543141044	142624.049947025	820.153545088	-0.014875857	1.783450493	116132.509545318	118634.687095278	116692.456858956	117371.083052349	118057.218238125	117375.950052974	820.153545088	0.014875857	1.783450493
2020	  12	1219.702885079	1441.609517641	1227.667604561	1425.191882712	1434.251972603	1346.604901748	106.556341738	-0.334405154	1.123338123	90956.327854990	106690.806081440	94056.778542418	98764.547043370	103528.210181057	98793.188879571	5427.512153634	0.008787988	1.584195160	152701.986501653	163983.870577814	153629.877392113	158270.020083675	162968.520809327	158302.432523410	4926.081857410	0.004446254	1.078047362	139957.332212282	149719.641335730	140547.651146103	144453.735283710	148751.615853434	144648.067959000	4322.135588288	0.024304162	1.069431055	116092.586939996	118867.203911147	116702.999115658	117450.992618334	118216.327325866	117462.232462183	909.492443090	0.030977723	1.784052860
2021	  12	1178.831200565	1216.463693761	1187.707305405	1198.107082148	1208.231087511	1197.928337950	12.335434885	-0.036322853	1.784442620	98404.547176481	112111.217057247	101514.828282548	105251.377759428	108991.831161445	105253.907605550	4492.905282393	0.001411175	1.783105260	148454.237245004	152335.108219923	149311.835787312	150359.699026641	151428.545915910	150373.299748669	1272.092646972	0.026800404	1.783858044	142952.338682177	147381.203176219	143975.109851009	145189.843072370	146390.733347186	145180.870669028	1451.674494666	-0.015493740	1.783470481	113327.852777485	115851.847900328	113881.887584352	114561.784676040	115258.520701652	114572.698968220	827.348570315	0.033066576	1.784158486
2022	  12	1133.427566840	1175.224274351	1143.269295852	1154.812885228	1166.064305931	1154.623512975	13.700339798	-0.034648972	1.784339765	113359.473587608	127098.439264118	116481.069835324	120228.146887712	123975.711096001	120228.462116778	4503.496423463	0.000175236	1.783100016	144537.401812520	148115.339533913	145326.909044117	146292.485205871	147278.392094333	146305.662729709	1172.801594874	0.028164620	1.783917122	137903.763198527	142540.408715076	138974.519873656	140246.243372204	141503.472776917	140236.848923126	1519.780078645	-0.015495560	1.783470541	110829.122611988	113109.567566760	111328.340612781	111942.049769665	112572.135669156	111952.664488108	747.523314908	0.035592453	1.784295315
2023	  12	-2152.815198552	1869.247277215	-2127.333472207	-864.380006999	1495.190639380	-378.404002958	1872.180378819	0.130532587	1.152607494	296970.916164957	312644.176758722	303531.039366605	308446.930053161	309981.303064114	306734.645903096	4844.484758516	-0.837043629	2.523714613	184481.217044384	324225.614025692	186112.091453696	188089.264416283	190089.045109756	210178.652056299	53142.362315195	1.784226229	4.191831051	3434.253494053	137472.506303949	3866.610710012	4379.776440750	4886.720831087	26403.734909809	51843.365396634	1.788528944	4.199424654	105921.764619676	110632.674914867	107033.445428541	108382.590726194	109748.741858116	108371.327398935	1595.864679923	-0.043774980	1.726540464
2024	  12	-2268.159570898	-1478.909385844	-2241.485293893	-2209.833408804	-2178.573897961	-2153.928911823	215.157233172	2.886521029	9.629190434	265646.276309346	294334.128186005	271626.590450805	279701.647988996	287709.840061010	279724.975209422	9555.951328456	0.020765246	1.751476933	176865.688824067	183833.301067522	178424.181905044	180313.563434964	182224.503293787	180327.536635565	2283.812572010	0.015337452	1.783468247	1296.218187473	3260.041084197	1750.193264230	2289.017281505	2821.308891360	2284.783248406	643.693194018	-0.016488967	1.783503928	100745.375099458	105480.423933761	101802.728141886	103085.940799490	104385.328217385	103096.424611005	1552.032923176	0.016933123	1.783519605
2025	  12	-1555.422741372	-1378.332169167	-1527.846246518	-1495.123783370	-1406.324557114	-1471.739212119	65.935245857	0.209692642	1.399630420	242003.662957711	263720.326197108	247028.681948589	252986.508411551	258870.403306654	252938.302140546	7117.415956448	-0.017072745	1.783872946	169587.727830388	176246.519673166	171077.195951031	172882.858100532	174709.079091020	172896.183474788	2182.588821582	0.015304715	1.783467235	0.000000000	1113.295157124	0.000000000	93.720164298	652.626354645	325.811264284	412.738316418	0.790091870	2.116819475	95821.955387299	100325.602703211	96827.635657585	98048.137798830	99284.024240916	98058.109267180	1476.185178500	0.016933123	1.783519605
2026	  12	-1562.577487088	-1434.597685739	-1532.981169533	-1497.861970532	-1463.178128515	-1498.144150908	41.948643346	-0.016862718	1.783517093	217069.897726391	239977.310181425	222376.250231253	228665.798406510	234870.032410263	228610.501276812	7508.404675058	-0.018462210	1.783607054	162631.692409968	168995.972739841	164055.332383901	165781.153599937	167526.581677678	165793.861940971	2086.055173546	0.015271468	1.783466209	0.000000000	0.000000000	0	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000	91139.142865674	95422.697239852	92095.675608722	93256.531892328	94432.020647027	93266.016055690	1404.044108010	0.016933123	1.783519605
2027	  12	-1709.032384161	-1574.504893285	-1677.921862829	-1641.005898956	-1604.547565756	-1641.302516216	44.094815552	-0.016862718	1.783517093	190725.259300253	214929.782387733	196333.751714687	202980.173460648	209535.006316550	202920.809318450	7933.573478994	-0.018757844	1.783613254	155982.684178415	162066.081964595	157343.540951793	158993.215404145	160661.589958838	159005.336021630	1993.988767269	0.015237711	1.783465169	0.000000000	0.000000000	0	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000	86685.179077349	90759.396437067	87594.966129513	88699.091444535	89817.134142772	88708.112117470	1335.428566787	0.016933123	1.783519605
2028	  12	-1862.980191723	-1721.570019095	-1830.277997075	-1791.473342427	-1753.149731707	-1791.785135189	46.350790003	-0.016862718	1.783517093	162867.665718811	188463.014364310	168799.868594378	175828.836821331	182759.709846928	175765.255557796	8389.459439700	-0.018998603	1.783618051	149626.512219246	155442.009261568	150927.486184734	152504.532641565	154099.415483602	152516.093433686	1906.177476501	0.015203443	1.783464115	0.000000000	0.000000000	0	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000	82448.880200104	86323.990831194	83314.206020155	84364.372805217	85427.776831911	84372.952638473	1270.166262454	0.016933123	1.783519605
2029	  12	-2024.804261294	-1876.159275855	-1990.428960303	-1949.638985877	-1909.354666498	-1949.966730548	48.722184388	-0.016862718	1.783517093	133391.211752476	160474.615332684	139669.513247216	147107.667356811	154440.972238100	147039.708412900	8877.214493851	-0.019190903	1.783621579	143549.659019489	149109.621108974	144793.512975470	146301.283248341	147826.067159463	146312.310770265	1822.419388660	0.015168661	1.783463047	0.000000000	0.000000000	0	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000	78419.608964358	82105.343199270	79242.646369724	80241.491574559	81252.927117917	80249.652111939	1208.093322548	0.016933123	1.783519605
